Number of Elements,Differance of Expected and Counted
1827,2.3365802232827635
1832,2.332055341304519
1837,2.3344327600873274
1842,2.3288373215078066
1847,2.326635563899393
1852,2.3296240774303554
1857,2.3332055781344847
1862,2.324127889091885
1867,2.327032702584969
1872,2.32644444583434
1877,2.3246132407770803
1882,2.3234125002188337
1887,2.3157589882409124
1892,2.3222627599969323
1897,2.3173647239211377
1902,2.317727659061456
1907,2.3190058248103305
1912,2.3145093891922746
1917,2.316219704168409
1922,2.3085686766730404
1927,2.314437417158774
1932,2.310827028616468
1937,2.3078875901157487
1942,2.3079816263464314
1947,2.305959675872355
1952,2.312217654851649
1957,2.305268230055177
1962,2.3084766970439885
1967,2.3007312158775197
1972,2.3026755432133763
1977,2.303470084834888
1982,2.298461302892739
1987,2.29868347010956
1992,2.2971127511482505
1997,2.2993298145773395
2002,2.296433546578381
2007,2.2913554648299743
2012,2.289375919004966
2017,2.292366335147316
2022,2.2864372359319813
2027,2.284955879492344
2032,2.2839674622542403
2037,2.2893917655022324
2042,2.28491796981536
2047,2.2839614093889056
2052,2.28114768080384
2057,2.279629321973717
2062,2.2774889657701802
2067,2.278432743837549
2072,2.278553143602172
2077,2.2794113448338758
2082,2.277459679093712
2087,2.2728512744931813
2092,2.2699364398768482
2097,2.271792182197348
2102,2.273158960748622
2107,2.273623229711951
2112,2.2683382808465202
2117,2.2719212337565207
2122,2.26696588584079
2127,2.2624797557061473
2132,2.26462996253849
2137,2.2677069888576966
2142,2.2681104450740923
2147,2.2606306928440274
2152,2.261019213781031
2157,2.261422021392822
2162,2.2597134969077586
2167,2.2596835573415444
2172,2.2614279855278023
2177,2.2554506710239117
2182,2.2559167861399563
2187,2.2565272781002124
2192,2.2575281671639202
2197,2.2526804291488767
2202,2.2495796831621138
2207,2.2504853017706408
2212,2.2508599932310407
2217,2.2543260311592266
2222,2.2449769314964825
2227,2.251065474301385
2232,2.251325471046275
2237,2.247166707580155
2242,2.2482042407372176
2247,2.2459907676069513
2252,2.2470904625777894
2257,2.2461304597558587
2262,2.244400420380352
2267,2.248439220011866
2272,2.2413203372007704
2277,2.2392917070024523
2282,2.240869730641484
2287,2.246188947218656
2292,2.2400347021530336
2297,2.2450764439804884
2302,2.243710884687352
2307,2.2437305688522278
2312,2.2357030856655373
2317,2.239392593850428
2322,2.236317804082686
2327,2.2364453727510933
2332,2.237796508605497
2337,2.236840416937949
2342,2.2357570543501786
2347,2.2320191401804412
2352,2.232219704690205
2357,2.234715382254263
2362,2.228519766246388
2367,2.2293659078994223
2372,2.2303021234759273
2377,2.234190622367672
2382,2.2282086163294412
2387,2.223405565979326
2392,2.2282015156232418
2397,2.2261485470589375
2402,2.2233036051755333
2407,2.223598134532637
2412,2.224182231432237
2417,2.22284885537448
2422,2.2192640327097695
2427,2.226755406646512
2432,2.2177575414905846
2437,2.221376114186652
2442,2.2228821614694936
2447,2.217658441037917
2452,2.217247286291605
2457,2.2167106351516948
2462,2.2084426353095403
2467,2.2189316094865075
2472,2.2166541049542254
2477,2.2127001407685642
2482,2.2147050602882867
2487,2.213437303890174
2492,2.215903558650057
2497,2.2117030128675035
2502,2.2099193850756365
2507,2.2102960386698496
2512,2.2092278756356967
2517,2.211665550364276
2522,2.2076729534718713
2527,2.2069401863145535
2532,2.2076664429506505
2537,2.2065965099611224
2542,2.206938951171627
2547,2.2065660090935753
2552,2.2022111571043244
2557,2.2057905859479647
2562,2.202426368786602
2567,2.1977455425093697
2572,2.2015210988060874
2577,2.2022157298743603
2582,2.206003426211662
2587,2.2020644738265807
2592,2.198681713337563
2597,2.1972400695789926
2602,2.197081293310487
2607,2.197348979141563
2612,2.200510764758485
2617,2.1968381097727394
2622,2.1992070407133593
2627,2.1987893319852114
2632,2.1929200633858827
2637,2.197810312327729
2642,2.194360765264662
2647,2.194997422335196
2652,2.1914511789914783
2657,2.188186056863252
2662,2.1914615201672816
2667,2.1900478879297407
2672,2.188095011245485
2677,2.1931061215117165
2682,2.190226401943267
2687,2.1889829232313
2692,2.1920835885416636
2697,2.1917925167543912
2702,2.188089954083979
2707,2.187530399508944
2712,2.1862414809517894
2717,2.1882275311756847
2722,2.1856403295715583
2727,2.183467675420558
2732,2.182876553888362
2737,2.184030568900154
2742,2.182800700128199
2747,2.186957061321606
2752,2.182709265792661
2757,2.181745891286694
2762,2.1820412396521434
2767,2.177262606238185
2772,2.1801866700514445
2777,2.1812914142087605
2782,2.183208540763104
2787,2.1792780498591746
2792,2.1806705709251797
2797,2.1823754456840097
2802,2.180314635544316
2807,2.178550574663385
2812,2.178849432265177
2817,2.1791537014620124
2822,2.1779897110633324
2827,2.1826520364238156
2832,2.1792367150125536
2837,2.17998241005972
2842,2.175925944553535
2847,2.1819853312308095
2852,2.1766807614450725
2857,2.1757976945366844
2862,2.177525343987353
2867,2.1757858178617413
2872,2.171417340619851
2877,2.175234777925653
2882,2.17479738313193
2887,2.172696138454168
2892,2.1698642207718244
2897,2.17569520089668
2902,2.176168518704846
2907,2.1699890606663588
2912,2.170546507769043
2917,2.170858267191892
2922,2.1716175407157796
2927,2.168584503583012
2932,2.1704611390975717
2937,2.1708306813927005
2942,2.1652176796577565
2947,2.168982792669307
2952,2.170580170749896
2957,2.164717889262426
2962,2.169781292209757
2967,2.1677559098712393
2972,2.1668030582860465
2977,2.1633633285112848
2982,2.164550919550519
2987,2.166392405967828
2992,2.1663795290572865
2997,2.1673776824737914
3002,2.1673497551122742
3007,2.1633520671693365
3012,2.1666944471125253
3017,2.1631612222907357
3022,2.164601449306968
3027,2.163639377966141
3032,2.160411724762212
3037,2.1622169335277506
3042,2.160744706423075
3047,2.1606259048965564
3052,2.1600070003534624
3057,2.1631501342311976
3062,2.1611367872040317
3067,2.1614349629816685
3072,2.1568468808439887
3077,2.1612312803414557
3082,2.164228840964777
3087,2.1675270521140537
3092,2.1583964190434655
3097,2.1599456430299693
3102,2.162302996538825
3107,2.1621600856190155
3112,2.160182708680775
3117,2.156276724485583
3122,2.160470703244531
3127,2.1604386826519297
3132,2.156623625244016
3137,2.160955623620331
3142,2.1598405544117263
3147,2.159005930074
3152,2.1545521568576236
3157,2.1572941424172214
3162,2.1623459390731448
3167,2.1581992078251115
3172,2.157435540179693
3177,2.1618226665412723
3182,2.1617725760893833
3187,2.1616481493346806
3192,2.1582132126467504
3197,2.1586933449418444
3202,2.159026148369465
3207,2.157183609941589
3212,2.158891186798148
3217,2.165509384754516
3222,2.1583874652354473
3227,2.1595689083005722
3232,2.1598271586882225
3237,2.1582479362457847
3242,2.158007147645908
3247,2.1610481909663357
3252,2.1607883846122315
3257,2.159948198220911
3262,2.15579055877854
3267,2.1587835690584742
3272,2.1598756181849037
3277,2.156939105280378
3282,2.15764054657618
3287,2.1590679730571902
3292,2.1596293521845222
3297,2.16092686402153
3302,2.1564087125869
3307,2.1579290329547445
3312,2.1594986289130453
3317,2.162183181408443
3322,2.158529584894551
3327,2.1614562352569133
3332,2.1579937833205625
3337,2.1577998407136536
3342,2.1548879003465893
3347,2.156914826166398
3352,2.159711571857555
3357,2.1586464818696314
3362,2.1578344864252554
3367,2.1584868661606404
3372,2.1568286637572025
3377,2.1595525793703767
3382,2.1523879484687023
3387,2.160527814899425
3392,2.1584847793678312
3397,2.161645724396226
3402,2.1609922062428306
3407,2.156247235482005
3412,2.1581270554503567
3417,2.1583875700106465
3422,2.155582770757345
3427,2.1590293118261386
3432,2.1609852886968635
3437,2.1617915253721907
3442,2.160135214660488
3447,2.162365267844578
3452,2.1574784543910295
3457,2.1592365552119617
3462,2.162793292205363
3467,2.1592272407636464
3472,2.160580591629579
3477,2.158691584785068
3482,2.158570823325241
3487,2.1638070251934463
3492,2.160255173485295
3497,2.1633502417297126
3502,2.159046228977587
3507,2.157112224606343
3512,2.1615593437574283
3517,2.160670889107631
3522,2.160103172671669
3527,2.1604034371261753
3532,2.1632230109316675
3537,2.1591141393883375
3542,2.1591628647737964
3547,2.157537801566101
3552,2.163097712984201
3557,2.161804410890755
3562,2.157250118273864
3567,2.154001891372454
3572,2.157841792888427
3577,2.15956849434195
3582,2.1614902484739877
3587,2.159546948986096
3592,2.1649792445475464
3597,2.1576011027085222
3602,2.1590568278912388
3607,2.157847002517865
3612,2.162252289141367
3617,2.160274701352384
3622,2.162985796758338
3627,2.16383904936616
3632,2.1644268572116956
3637,2.159662450209098
3642,2.1632509775101876
3647,2.160949066063489
3652,2.16346020124159
3657,2.162435837604819
3662,2.1630814830211316
3667,2.1633353972907807
3672,2.1633788485909045
3677,2.168034244162678
3682,2.162499316309724
3687,2.164902371157018
3692,2.162888318904002
3697,2.16530707821672
3702,2.162090578515866
3707,2.165947762861282
3712,2.163555640779015
3717,2.1679053193157984
3722,2.1616437740370307
3727,2.1654466761707383
3732,2.166214575213361
3737,2.1649402594660203
3742,2.1633461789422093
3747,2.1641530302369913
3752,2.1608893974208434
3757,2.163248611466976
3762,2.1672030357577086
3767,2.1646873882004285
3772,2.164473494804064
3777,2.1611548529300397
3782,2.167371106623376
3787,2.1633629367872675
3792,2.164133561587892
3797,2.166847270735551
3802,2.166338198336966
3807,2.1664724533620907
3812,2.167313780142612
3817,2.1673283161748222
3822,2.165582696171949
3827,2.1664813717313436
3832,2.1697174774846
3837,2.166715941365356
3842,2.166894870034707
3847,2.167032150957849
3852,2.170583588299639
3857,2.1662901476179237
3862,2.163421346817048
3867,2.1663868905484054
3872,2.1683105997904075
3877,2.1645238209285775
3882,2.1648419653988764
3887,2.1680542778686416
3892,2.1698006618985257
3897,2.1680643033959464
3902,2.1693976523740814
3907,2.1674461441059805
3912,2.168011639345603
3917,2.1720862289163776
3922,2.1676059195946515
3927,2.171389395685683
3932,2.166635749954721
3937,2.166366525252138
3942,2.1676019263030786
3947,2.172005577311664
3952,2.1689601801331544
3957,2.169982520258851
3962,2.1711487430121466
3967,2.1693636634529296
3972,2.170761550534707
3977,2.1700392578405325
3982,2.166169756173147
3987,2.173998634367162
3992,2.1737124024341594
3997,2.1698093463429156
4002,2.1722467393048213
4007,2.1734081703606103
4012,2.1731477013164127
4017,2.1728170135041665
4022,2.171180300248894
4027,2.172657019700343
4032,2.172363222028703
4037,2.177532214740971
4042,2.170860737489163
4047,2.1712109939879496
4052,2.167851008125489
4057,2.1716592263201453
4062,2.171254762198114
4067,2.1753562565064013
4072,2.1738702012515443
4077,2.169017704600907
4082,2.174413771482376
4087,2.174336705887452
4092,2.175736468803912
4097,2.1689526987379772
4102,2.176907395258172
4107,2.1722960571981007
4112,2.1760775607945435
4117,2.177196495319971
4122,2.1774662018097155
4127,2.175843303305936
4132,2.172961651669493
4137,2.1760465273990235
4142,2.1744074000792986
4147,2.175369516496974
4152,2.176430064748269
4157,2.1749600094844173
4162,2.1736216480747665
4167,2.178089330947255
4172,2.1729448773864015
4177,2.1764481882175395
4182,2.178594947999764
4187,2.174677610385218
4192,2.1766663420660572
4197,2.178235243925412
4202,2.1765919285797737
4207,2.175894234905313
4212,2.173100429219138
4217,2.1782116536700786
4222,2.181115964275076
4227,2.178603987096243
4232,2.1792424714335596
4237,2.1797446466059993
4242,2.1753666713577124
4247,2.1817065472349775
4252,2.1803768536555888
4257,2.1746846965593902
4262,2.180305499646216
4267,2.1797898034295886
4272,2.17883272825855
4277,2.1780329086456556
4282,2.181052631717903
4287,2.1785338385238533
4292,2.17954762904755
4297,2.181464513133396
4302,2.1832454466373346
4307,2.1826980203535493
4312,2.1811901534060727
4317,2.188027495295128
4322,2.1807212359497172
4327,2.1775918082379704
4332,2.181774865006922
4337,2.181807517023499
4342,2.1794984618741005
4347,2.1796223503304946
4352,2.1819775164667297
4357,2.184560813150281
4362,2.1766264968444538
4367,2.1770774538080744
4372,2.180550609391547
4377,2.1828780602187425
4382,2.1782954562127776
4387,2.1780283303392842
4392,2.185054512936972
4397,2.1849084618195844
4402,2.182034944720177
4407,2.1828042383092536
4412,2.185635351611368
4417,2.182625949336537
4422,2.183940058584536
4427,2.1862512110487864
4432,2.1876626486929944
4437,2.184618849210519
4442,2.1865170862583208
4447,2.1844472208281287
4452,2.1831209674289327
4457,2.1863889604546576
4462,2.18534763061353
4467,2.1845697695981605
4472,2.1882113323193146
4477,2.1855821757193574
4482,2.1833879389432753
4487,2.181270415803201
4492,2.1841093132193925
4497,2.184087705579112
4502,2.1852594138835575
4507,2.1869982305276747
4512,2.185043960751717
4517,2.189960915866865
4522,2.1834076232993955
4527,2.186836160101438
4532,2.1832871981991886
4537,2.1868781117344085
4542,2.184711352113204
4547,2.1865423596035085
4552,2.185545629278219
4557,2.185618475487225
4562,2.1884566822205596
4567,2.1867704078124146
4572,2.186681193934326
4577,2.188175727088072
4582,2.1861521827875303
4587,2.1877552366501933
4592,2.1857028118996356
4597,2.1866630662788276
4602,2.187188915434052
4607,2.1870757963051553
4612,2.185736023500562
4617,2.1876716200115456
4622,2.1924889663071028
4627,2.1877076302849066
4632,2.188218364531308
4637,2.1877162540939983
4642,2.184065692151342
4647,2.1857173028094032
4652,2.1866113305130517
4657,2.188054003061449
4662,2.188212114685054
4667,2.1860779744455208
4672,2.191107164264474
4677,2.187031128168797
4682,2.1845698088946652
4687,2.1891212951905277
4692,2.1889811757865085
4697,2.1899688306533736
4702,2.187162006247822
4707,2.186751529870128
4712,2.1847118429442762
4717,2.186135257759328
4722,2.1841343774341047
4727,2.1854320052526295
4732,2.1866206203880014
4737,2.1893622397996326
4742,2.185237749884673
4747,2.186568149158766
4752,2.190400822679619
4757,2.1876520157773682
4762,2.1874813759662692
4767,2.187530147768785
4772,2.183100755739598
4777,2.1886373414520444
4782,2.1883338656550593
4787,2.184112292092626
